seq,recv_bytes,latency_us,recv_ns
1,512,126,824946892701844
2,512,79,824946894010795
3,512,74,824946895349087
4,512,89,824946896591142
5,512,86,824946897940739
6,512,109,824946899304078
7,512,98,824946900649305
8,512,91,824946901773954
9,512,98,824946903119275
10,512,98,824946904464845
11,512,94,824946905763172
12,512,69,824946907064817
13,512,105,824946908427691
14,512,114,824946909839004
15,512,80,824946911151837
16,512,100,824946912388976
17,512,97,824946913733692
18,512,79,824946915047793
19,512,94,824946916450684
20,512,81,824946917791823
21,512,111,824946919147885
22,512,98,824946920524263
23,512,182,824946921995477
24,512,187,824946923410888
25,512,133,824946924553972
26,512,83,824946925881851
27,512,82,824946927266901
28,512,100,824946928613945
29,512,99,824946929960318
30,512,99,824946931307334
31,512,100,824946932654711
32,512,97,824946933999758
33,512,135,824946935348599
34,512,130,824946936743866
35,512,126,824946938092966
36,512,88,824946939336510
37,512,100,824946940680661
38,512,77,824946942034059
39,512,80,824946943377634
40,512,107,824946944729946
41,512,81,824946945950518
42,512,83,824946947267492
43,512,81,824946948610026
44,512,98,824946949933892
45,512,79,824946951247749
46,512,79,824946952368510
47,512,79,824946953681474
48,512,60,824946954968447
49,512,84,824946956302781
50,512,88,824946957565070
51,512,99,824946958917777
52,512,99,824946960264100
53,512,99,824946961610817
54,512,99,824946962956776
55,512,80,824946964270218
56,512,78,824946965531597
57,512,78,824946966921740
58,512,75,824946968243097
59,512,98,824946969591937
60,512,108,824946970768526
61,512,150,824946972169713
62,512,130,824946973535894
63,512,127,824946974923633
64,512,139,824946976286916
65,512,99,824946977665572
66,512,116,824946979024466
67,512,80,824946980241179
68,512,99,824946981588597
69,512,98,824946982932521
70,512,98,824946984279274
71,512,99,824946985625303
72,512,80,824946986941888
73,512,74,824946988277803
74,512,62,824946989541726
75,512,84,824946990882388
76,512,98,824946992237235
77,512,88,824946993676496
78,512,121,824946995034218
79,512,62,824946996075643
80,512,64,824946997379732
81,512,65,824946998707418
82,512,71,824947000047252
83,512,56,824947001338447
84,512,77,824947002658095
85,512,65,824947003994400
86,512,51,824947005383272
87,512,58,824947006688534
88,512,50,824947007741915
89,512,61,824947008854409
90,512,48,824947009938006
91,512,36,824947011102391
92,512,54,824947012408610
93,512,45,824947013700550
94,512,45,824947014878268
95,512,95,824947016234151
96,512,47,824947017517999
97,512,70,824947018856178
98,512,103,824947020225984
99,512,107,824947021585513
100,512,129,824947022951025
101,512,114,824947024335585
102,512,69,824947025682678
103,512,66,824947026741029
104,512,63,824947027804730
105,512,52,824947029089841
106,512,67,824947030399570
107,512,65,824947031707122
108,512,65,824947033015834
